Rk,Player,Season,Age,Tm,Lg,Ht,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Boban Marjanovic\marjabo01,2017-18,29,TOT,NBA,7-3,39,1,337,79,148,79,148,0,0,77,97,48,96,144,22,10,11,36,51,235,.534,.534,,.534,.794,.616
2,Kristaps Porzingis\porzikr01,2017-18,22,NYK,NBA,7-3,48,48,1553,390,889,300,661,90,228,218,275,62,254,316,57,36,115,93,141,1088,.439,.454,.395,.489,.793,.539
3,Salah Mejri\mejrisa01,2017-18,31,DAL,NBA,7-2,61,1,729,88,137,88,134,0,3,38,66,85,161,246,35,22,67,39,121,214,.642,.657,.000,.642,.576,.644
4,Dragan Bender\bendedr01,2017-18,20,PHO,NBA,7-1,82,37,2069,187,484,69,162,118,322,39,51,40,321,361,130,22,53,112,166,531,.386,.426,.366,.508,.765,.524
5,Tyson Chandler\chandty01,2017-18,35,PHO,NBA,7-1,46,46,1151,121,187,121,187,0,0,58,93,134,284,418,53,16,27,59,106,300,.647,.647,,.647,.624,.658
6,Marc Gasol\gasolma01,2017-18,33,MEM,NBA,7-1,73,73,2408,434,1033,325,713,109,320,281,337,78,514,592,305,54,101,194,185,1258,.420,.456,.341,.473,.834,.532
7,Rudy Gobert\goberru01,2017-18,25,UTA,NBA,7-1,56,56,1816,276,444,276,444,0,0,204,299,165,436,601,80,44,129,107,153,756,.622,.622,,.622,.682,.657
8,Luke Kornet\kornelu01,2017-18,22,NYK,NBA,7-1,20,1,326,49,125,21,46,28,79,8,11,11,53,64,26,6,16,12,28,134,.392,.457,.354,.504,.727,.516
9,Alex Len\lenal01,2017-18,24,PHO,NBA,7-1,69,13,1395,214,378,213,375,1,3,158,231,175,343,518,82,27,61,78,158,587,.566,.568,.333,.567,.684,.612
10,Meyers Leonard\leoname01,2017-18,25,POR,NBA,7-1,33,2,254,46,78,35,52,11,26,9,11,12,58,70,17,7,0,10,36,112,.590,.673,.423,.660,.818,.676
11,Thon Maker\makerth01,2017-18,20,MIL,NBA,7-1,74,12,1238,130,316,99,212,31,104,65,93,75,150,225,46,38,53,44,162,356,.411,.467,.298,.460,.699,.499
12,Timofey Mozgov\mozgoti01,2017-18,31,BRK,NBA,7-1,31,13,359,52,93,48,75,4,18,23,30,32,66,98,11,5,13,33,39,131,.559,.640,.222,.581,.767,.617
